,PONTA,,,,,FORA PONTA,,,,,Total,
,TUSD,TE,TOU,Consumo(kWh),Consumo (R$),TUSD,TE,TOU,Consumo(kWh),Consumo (R$),Consumo(kWh),Consumo (R$)
Jan,1.15919,0.33947,1.49866,11488.68,17217.62517,0.07182,0.22399,0.29581,117376.896,34721.25961,128865.576,51938.88477
Fev,1.15919,0.33947,1.49866,10258.416,15373.87772,0.07182,0.22399,0.29581,105258.888,31136.63166,115517.304,46510.50938
Mar,1.15919,0.33947,1.49866,11943.456,17899.17977,0.07182,0.22399,0.29581,132073.704,39068.72238,144017.16,56967.90215
Abr,1.15919,0.2998175,1.4590075,16129.008,23532.34364,0.07182,0.1843375,0.2561575,154594.608,39600.5683,170723.616,63132.91194
Mai,1.15919,0.32401862,1.48320862,14370.048,21313.77906,0.07182,0.20853862,0.28035862,122596.656,34371.02929,136966.704,55684.80836
Jun,1.15919,0.33378,1.49297,14997.192,22390.35774,0.07182,0.2183,0.29012,123105.864,35715.47326,138103.056,58105.831
Jul,1.15919,0.33378,1.49297,11938.08,17823.1953,0.07182,0.2183,0.29012,94148.208,27314.2781,106086.288,45137.4734
Ago,1.18676581,0.36070258,1.54746839,9865.8,15267.01364,0.06365226,0.23525,0.29890226,87182.088,26058.92313,97047.888,41325.93678
Set,1.21618,0.38942,1.6056,11724.384,18824.67095,0.05494,0.25333,0.30827,96362.616,29705.70363,108087,48530.37458
Out,1.21618,0.38942,1.6056,13834.128,22212.07592,0.05494,0.25333,0.30827,120432.312,37125.66882,134266.44,59337.74474
nov,1.21618,0.38942,1.6056,14013.72,22500.42883,0.05494,0.25333,0.30827,130485.264,40224.69233,144498.984,62725.12117
Dez,1.21618,0.38942,1.6056,13646.64,21911.04518,0.05494,0.25333,0.30827,136617.096,42114.95218,150263.736,64025.99737
,,,,,,,,,,TOTAL,1574443.752,"R$ 653,423.50"